Agency,Account,Location,Project,Amount,Requestor(s)
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,Town of Winchester for Southern Sewer Network Expansion,"635,000","Blumenthal, Mur- phy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],DE,City of Dover for Meeting House Branch Soil Remediation,"1,400,000",Blunt Rochester
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],DE,City of Seaford for Wastewater Treatment Facility Upgrade and Ex- pansion.,"2,300,000","Blunt Rochester, Coons"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],DE,City of Wilmington for Wastewater Treatment Facility Upgrades,"2,800,000","Blunt Rochester, Coons"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],DE,Kent County Levy Court for Replacement of Wastewater Main Pipe,"2,600,000","Blunt Rochester, Coons"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],GA,City of Barnesville for Wastewater Collection System Improvement,"2,000,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],GA,City of Arcade for Sewage Treatment Plant Improvements,"1,000,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],GA,City of Cordele for Lift Station Improvements,"250,000",Ossoff
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],GA,City of Hampton for Stormwater Improvements,"954,000",Ossoff
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],GA,City of Moultrie for SE Business Park Water and Sewer Extension,"685,000",Warnock 163
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],GA,City of South Fulton for Stormwater Improvements,"810,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],GA,City of Waynesboro for Sanitary Sewer Improvements,"1,000,000",Ossoff
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],IL,City of Carbondale for Stormwater and Flooding Mitigation Project,"1,500,000","Duckworth, Durbin"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],IL,Village of Park Forest for Water Main Improvements,"1,450,000","Duckworth, Durbin"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],IN,City of Clinton for Combined Sewer Overflows Control Plan,"2,000,000",Young
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],IN,City of Gary for Storm Sewer Project,"2,000,000",Young
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],IN,Greene County for Water and Wastewater Infrastructure,"15,000,000",Young
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],KS,Riley County for Sewer District Upgrades,"1,000,000",Moran
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],KY,Martin County for Wastewater Treatment Plant Rehabilitation,"4,800,000",McConnell
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],LA,City of Kenner Sewer/Wastewater Treatment Plant Stabilization and Improvement Project.,"7,000,000","Cassidy, Kennedy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],LA,Monroe Sewer Lift Stations Rehabilitation Project,"4,000,000",Kennedy
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],LA,North Lake Charles Water Rehabilitation Project,"1,500,000","Cassidy, Kennedy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MA,Barnstable County for Former Municipal Fire Training PFAS Remedi- ation Site.,"3,000,000","Markey, Warren"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MA,City of Fall River for South Watuppa Pond Phosphorus Inactivation Project.,"2,026,000","Markey, Warren"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MA,Town of Agawam for Downtown Stormwater Infrastructure Improve- ments.,"1,971,000","Markey, Warren"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MA,Town of Wayland for Town Center Sewer Replacement and Expan- sion.,"200,000","Markey, Warren"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MA,Tyngsborough Sewer Commission for Phalanx Street Pump Station Upgrade & Gravity Sewer Installation.,"1,956,000","Markey, Warren"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MD,Canal Place Preservation and Development Authority for Sediment Testing and Remediation.,"500,000","Alsobrooks, Van Hollen"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MD,City of Hagerstown for Stormwater Infrastructure Upgrades,"1,000,000","Alsobrooks, Van Hollen"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MD,Easton Utilities for Windmill Pump Station Enhancement,"2,868,000","Alsobrooks, Van Hollen"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MD,Town of Hurlock for Wastewater Treatment Plant,"2,795,000","Alsobrooks, Van Hollen"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MD,Town of Smithsburg Water System Improvements,"306,000","Alsobrooks, Van Hollen"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MD,Town of Trappe for Wastewater Treatment Plant Upgrades,"1,149,000","Alsobrooks, Van Hollen 164"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Caribou Utilities District for Wastewater Infrastructure Improve- ments.,"3,288,000",Collins
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,City of Bath for Pump Station and Sewer Line Improvements,"560,000",King
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,City of Biddeford for Wastewater Infrastructure Improvements,"6,000,000",Collins
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,City of Brewer for Drinking Water Infrastructure Improvements,"1,576,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,City of Gardiner for Wastewater Infrastructure Improvements,"1,422,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Clinton Water District for Wastewater Infrastructure Improvements,"3,250,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Pleasant Point for Wastewater Infrastructure Improvements,"5,000,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Richmond Utilities District for Wastewater Infrastructure Improve- ments.,"2,500,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,South Berwick Sewer District for Wastewater Infrastructure Im- provements.,"3,000,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of Fort Kent for Water Infrastructure Improvements,"3,500,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of Frenchboro for Culvert Replacement,"419,000",King
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of Gorham for Wastewater Infrastructure Improvements,"3,000,000",Collins
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of Hampden for Pump Station and Sewer Main Improvements,"1,735,000",King
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of Machias for Wastewater Infrastructure Improvements,"1,378,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of North Haven for Wastewater Infrastructure Improvements,"4,000,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of Old Orchard Beach for Wastewater Infrastructure Improve- ments.,"1,000,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of Southwest Harbor for Wastewater Infrastructure Improve- ments.,"780,000","Collins, King"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Town of St. Agatha for Wastewater System Upgrades,"786,000",King
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Vassalboro Sanitary District for Wastewater Infrastructure Improve- ments.,"386,000",Collins
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Veazie Sewer District for Wastewater Infrastructure Improvements,"1,878,000",Collins
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],ME,Wells Sanitary District for Wastewater Infrastructure Improvements,"3,000,000",Collins
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MI,Great Lakes Water Authority for Freud & Conners Creek Pump Sta- tion Rehabilitation.,"1,000,000","Peters, Slotkin"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MI,Great Lakes Water Authority for Oakwood District Intercommunity Relief Sewer Modification.,"1,000,000","Peters, Slotkin"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MI,Marquette County for K.I. Sawyer Wastewater Treatment Plant Dis- infection Upgrades.,"1,370,000",Peters
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MN,City of Floodwood for Water Infrastructure Improvements,"1,500,000","Klobuchar, Smith"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MN,City of Grand Marais for Wastewater Treatment Improvements,"1,000,000",Klobuchar
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MN,City of Lamberton for Infrastructure Improvements,"1,000,000","Klobuchar, Smith"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MN,City of Madison Lake for Sanitary and Water System Improvements,"1,000,000","Klobuchar, Smith"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MN,City of Moorhead for Dewatering Project,"2,000,000","Klobuchar, Smith"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MN,City of Sacred Heart for Infrastructure Improvements,"1,000,000","Klobuchar, Smith"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MS,"Cities of Clinton, Bolton, and Raymond for Regional Wastewater Improvements.","7,800,000","Hyde-Smith, Wicker 165"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MS,City of Natchez for Stormwater Infrastructure Improvements,"1,178,000",Hyde-Smith
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MS,DCRUA Effluent Pump Station Project,"2,500,000","Hyde-Smith, Wicker"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],MT,12th Street BNSF Railroad Sanitary Sewer Crossing Replacement Project.,"825,000",Sheehy
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NE,City of Gothenburg Clean Water Utility Improvements,"776,000",Fischer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NE,Middle Niobrara Natural Resources District for Long Pine Creek and Bone Creek Watershed Improvements.,"1,421,000",Fischer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NE,Village of Greeley for Wastewater Improvements,"2,372,000",Fischer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NE,Village of Ong for Lagoon System Renovations,"100,000",Fischer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NE,Village of Shelby for Lagoon Improvements,"600,000",Fischer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NE,Village of Valparaiso for Sewer Rehabilitation,"468,000",Fischer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NJ,Borough of Swedesboro for Sanitary Sewer Pump Station,"400,000",Booker
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NJ,City of Hoboken for North End Roadway Reconstruction Project,"1,217,000","Booker, Kim"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NJ,County of Passaic for River Street Storm Water Management Project.,"1,000,000",Booker
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NJ,Town of Morristown for Burnham Park Lower Pond Hydro-raking,"500,000",Booker
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NM,Albuquerque Bernalillo County Water Utility Authority for Carnuel Wastewater System Improvements.,"1,000,000",Heinrich
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NM,City of Rio Rancho for Aquifer Reinjection System,"2,090,000","Heinrich, Luján"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NM,Village of Mosquero for Water Infrastructure Project,"250,000",Luján
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NV,Baker Water and Sewer General Improvement District for Water In- frastructure Upgrades.,"3,871,000","Cortez Masto, Rosen"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NV,City of Sparks for Water Reclamation Backup Power Systems,"3,773,000","Cortez Masto, Rosen"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NY,City of Glens Falls for WWTP Electrical System Upgrades,"1,000,000",Schumer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NY,"County of Suffolk for Lake Ave, St. James Sewer Upgrade and Ex- pansion.","1,100,000",Gillibrand
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NY,Oneida County for Purchase and Installation of Holding Tank,"1,500,000",Schumer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NY,Suffolk County for Sewerage Design Infrastructure at Heartland,"1,000,000",Schumer
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],NY,Village of Millerton for Wastewater System,"3,500,000",Gillibrand
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],OR,Arnold Irrigation District for Infrastructure Modernization Project,"2,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],OR,City of Dallas for Sewer and Reservoir Tank Project,"1,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],OR,City of John Day for Wastewater Treatment Plant,"4,500,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],OR,City of Talent for Resilient Waterline Installation,"2,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],PA,Borough of Forest Hills for Storm Sewer Replacement and Sanitary Sewer Access Improvements.,"500,000","Fetterman, McCor- mick 166"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],PA,Chesapeake Conservancy for Water Quality Project,"400,000",Fetterman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],PA,Dry Tavern Sewer Authority for Sewage Treatment Plant Improve- ments.,"591,000","Fetterman, McCor- mick"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],PA,Hatfield Township Municipal Authority for Stormwater Mitigation Project.,"241,000",Fetterman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],RI,City of East Providence for Sewer System Rehabilitation,"1,500,000","Reed, Whitehouse"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],RI,City of Warwick for Bellows Interceptor Rehabilitation,"2,000,000",Reed
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],RI,Narragansett Bay Commission for Service Area Expansion Study,"500,000","Reed, Whitehouse"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],RI,Town of Charlestown for Onsite Wastewater Treatment Systems Up- grades.,"650,000",Whitehouse
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],RI,Town of Cumberland for Sewer Main Replacements,"1,500,000",Reed
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],RI,Town of Middletown for Sewer System Reconfiguration,"1,000,000","Reed, Whitehouse"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],SC,Beaufort Jasper Water & Sewer Authority for Bluffton Area Pump Station System Improvements.,"1,500,000",Graham
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],SC,City of North Augusta for Greeneway Culvert Replacement,"1,280,000",Graham
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],SC,City of Walterboro for SC Highway 63 Wastewater Improvements,"2,983,000",Graham
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],SC,Town of Moncks Corner for Stormwater Improvements,"1,678,000",Graham
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],SC,Town of Pawleys Island for Stormwater Improvements,"1,500,000",Graham
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],SC,Town of Sullivan's Island for Street Drainage Improvement,"3,000,000",Graham
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VA,City of Buena Vista for Wastewater Treatment Plant Improvements,"2,300,000","Kaine, Warner"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VA,City of Williamsburg for Sanitary Sewer Resiliency Improvements,"600,000","Kaine, Warner"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VA,Town of Altavista for Wastewater Treatment Plant Improvements,"3,000,000","Kaine, Warner"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VA,Town of Fries for Drinking Water and Sewer Treatment Improve- ments.,"1,000,000","Kaine, Warner"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VA,Town of Stuart for Sewer Equalization and Reclamation,"1,058,000","Kaine, Warner"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VA,Town of Wytheville for Wastewater Plant Upgrade,"942,000","Kaine, Warner"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VT,Addison County Community Trust for Manufactured Housing Com- munity Wastewater Infrastructure Improvements.,"1,200,000","Sanders, Welch"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VT,Bolton Valley Water and Community Development Company for Community Wastewater Treatment Facility.,"1,000,000",Welch
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VT,City of Burlington for South End Wastewater Storage,"1,000,000","Sanders, Welch"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VT,Highgate Village for Wastewater System Centralization,"750,000",Sanders
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VT,Town of Richmond for Richmond Wastewater Treatment Facility,"1,350,000","Sanders, Welch"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],VT,Town of Woodstock for Woodstock Wastewater Treatment Facility,"1,000,000",Welch
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,City of Anacortes for Samish Indian Nation Summit Park Sewer Ex- tension.,"997,000",Murray
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,City of Entiat for Wastewater Treatment Plant Upgrades and Ex- pansion.,"1,000,000",Cantwell
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,City of Granite Falls for Water Infrastructure Projects,"990,000","Cantwell, Murray"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,City of Toppenish for Solid State Dryer,"1,000,000",Cantwell
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,Clark Regional Wastewater District for Wallace Heights Septic Elimination.,"2,215,000",Murray
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,Douglas County Sewer District #1 for Sewer Line Construction,"3,767,000",Murray
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,Port of Bellingham for Fairhaven Marine Industrial Park Stormwater Improvement Project.,"1,200,000",Cantwell
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WA,Town of Carbonado for Sewer Gravity Line to Wastewater Treatment Plant.,"1,000,000",Murray
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WI,Bell Sanitary District for Holding Tank Treatment Facility,"1,100,000",Baldwin
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WI,City of Oshkosh for Wastewater Treatment,"3,200,000",Baldwin
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WI,Forest County Potawatomi Community for Wastewater Treatment,"2,000,000",Baldwin
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WI,Town of Calumet for Water Treatment System,"420,000",Baldwin
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WI,Town of Richmond for Wastewater Improvements,"144,000",Baldwin
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WI,Village of Brandon for Wastewater Improvements,"406,000",Baldwin
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WV,Berkeley County Westside Water Main,"1,600,000","Capito, Justice"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],WV,Huntington Four Pole Creek Pump Station,"10,000,000",Capito
Environmental Protection Agency,STAG-Drinking water state revolving funds [SRF],AK,City of Unalaska for Captains Bay Waterline Replacement,"3,400,000",Murkowski
Environmental Protection Agency,STAG-Drinking water state revolving funds [SRF],AK,City of Wasilla for Wasilla-Palmer Water System Interconnect De- sign.,"1,930,000",Murkowski
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],AL,The City of Greenville Water Works and Sewer Board for Water Sup- ply Augmentation.,"3,500,000","Britt, Tuberville"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],AR,City of Helena-West Helena for Water Rehabilitation,"4,500,000",Boozman
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],AR,City of Wabbaseka for Drinking Water Regionalization,"2,000,000",Boozman
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],AR,Wynne Water Utilities for Water Infrastructure Improvements,"4,500,000",Boozman
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],AZ,City of Page for Water Treatment Plant Expansion,"2,550,000","Gallego, Kelly"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],AZ,City of Safford for Water Line Upgrades,"2,100,000","Gallego, Kelly"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],AZ,Town of Eagar for Spring Line Restoration Project,"1,500,000","Gallego, Kelly"
